Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/25/2023,05/26/2023,Kindle Svcs*O67RM7PS3,Shopping,Sale,-9.99,
05/19/2023,05/21/2023,Payment Thank You-Mobile,,Payment,24.98,
05/12/2023,05/14/2023,Netflix,Bills & Utilities,Sale,-19.99,
05/11/2023,05/12/2023,Spotify USA,Bills & Utilities,Sale,-4.99,
05/05/2023,05/05/2023,Payment Thank You - Web,,Payment,220.63,
05/03/2023,05/04/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-29.22,
05/02/2023,05/02/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-19.99,
04/30/2023,05/02/2023,IZUMI SUSHI,Food & Drink,Sale,-154.95,
04/30/2023,05/02/2023,BERKELEY BOWL WEST,Groceries,Sale,-5.99,
04/29/2023,04/30/2023,PAYPAL *GWDCONCEPTS,Shopping,Sale,-10.48,
04/17/2023,04/18/2023,Payment Thank You-Mobile,,Payment,99.43,
04/14/2023,04/16/2023,PAYPAL *STEAM GAMES,Entertainment,Sale,-29.99,
04/12/2023,04/13/2023,NETFLIX.COM,Bills & Utilities,Sale,-19.99,
04/11/2023,04/12/2023,Spotify USA,Bills & Utilities,Sale,-4.99,
04/10/2023,04/11/2023,Kindle Svcs*HJ9WV3XJ0,Shopping,Sale,-7.99,
04/10/2023,04/10/2023,Payment Thank You - Web,,Payment,778.30,
04/09/2023,04/10/2023,PAYPAL *PYPL PAYIN4,Shopping,Sale,-36.47,
04/08/2023,04/09/2023,PAYPAL *NANCYGOMEZ4,Professional Services,Sale,-230.00,
04/06/2023,04/09/2023,SQ *KURA REVOLVING SUSHI,Food & Drink,Sale,-119.76,
04/07/2023,04/09/2023,Kindle Svcs*HS2OH3PD2,Shopping,Sale,-9.99,
04/08/2023,04/09/2023,ANIME EXPO 2023 - GENE,Entertainment,Sale,-186.75,
04/02/2023,04/04/2023,PAPA JOHN'S #4020,Food & Drink,Sale,-28.77,
04/04/2023,04/04/2023,PAYPAL *PAII,Professional Services,Sale,-161.84,
03/30/2023,03/31/2023,BERKELEY-PRKG IPS METER,Travel,Sale,-5.25,
03/29/2023,03/30/2023,PAYPAL *GWDCONCEPTS,Shopping,Sale,-10.48,
03/30/2023,03/30/2023,SNACK* TP TEA  BER,Food & Drink,Sale,-12.51,
03/29/2023,03/29/2023,Payment Thank You - Web,,Payment,637.64,
03/27/2023,03/29/2023,MR SUN TEA,Food & Drink,Sale,-12.95,
03/25/2023,03/26/2023,TST* Harris,Food & Drink,Sale,-316.57,
03/23/2023,03/26/2023,SQ *KURA REVOLVING SUSHI,Food & Drink,Sale,-225.01,
03/23/2023,03/26/2023,FIVE GUYS CA 1651 QSR,Food & Drink,Sale,-28.23,
03/23/2023,03/26/2023,TST* Sunright Tea Studio,Food & Drink,Sale,-18.85,
